V	R	G	B
0.0	0.0	0.0	1.0
0.004166667	0.0	0.0166666666667	1.0
0.008333333	0.0	0.0333333333333	1.0
0.0125	0.0	0.05	1.0
0.016666667	0.0	0.0666666666667	1.0
0.020833333	0.0	0.0833333333333	1.0
0.025	0.0	0.1	1.0
0.029166667	0.0	0.116666666667	1.0
0.033333333	0.0	0.133333333333	1.0
0.0375	0.0	0.15	1.0
0.041666667	0.0	0.166666666667	1.0
0.045833333	0.0	0.183333333333	1.0
0.05	0.0	0.2	1.0
0.054166667	0.0	0.216666666667	1.0
0.058333333	0.0	0.233333333333	1.0
0.0625	0.0	0.25	1.0
0.066666667	0.0	0.266666666667	1.0
0.070833333	0.0	0.283333333333	1.0
0.075	0.0	0.3	1.0
0.079166667	0.0	0.316666666667	1.0
0.083333333	0.0	0.333333333333	1.0
0.0875	0.0	0.35	1.0
0.091666667	0.0	0.366666666667	1.0
0.095833333	0.0	0.383333333333	1.0
0.1	0.0	0.4	1.0
0.104166667	0.0	0.416666666667	1.0
0.108333333	0.0	0.433333333333	1.0
0.1125	0.0	0.45	1.0
0.116666667	0.0	0.466666666667	1.0
0.120833333	0.0	0.483333333333	1.0
0.125	0.0	0.5	1.0
0.129166667	0.0	0.516666666667	1.0
0.133333333	0.0	0.533333333333	1.0
0.1375	0.0	0.55	1.0
0.141666667	0.0	0.566666666667	1.0
0.145833333	0.0	0.583333333333	1.0
0.15	0.0	0.6	1.0
0.154166667	0.0	0.616666666667	1.0
0.158333333	0.0	0.633333333333	1.0
0.1625	0.0	0.65	1.0
0.166666667	0.0	0.666666666667	1.0
0.170833333	0.0	0.683333333333	1.0
0.175	0.0	0.7	1.0
0.179166667	0.0	0.716666666667	1.0
0.183333333	0.0	0.733333333333	1.0
0.1875	0.0	0.75	1.0
0.191666667	0.0	0.766666666667	1.0
0.195833333	0.0	0.783333333333	1.0
0.2	0.0	0.8	1.0
0.204166667	0.0	0.816666666667	1.0
0.208333333	0.0	0.833333333333	1.0
0.2125	0.0	0.85	1.0
0.216666667	0.0	0.866666666667	1.0
0.220833333	0.0	0.883333333333	1.0
0.225	0.0	0.9	1.0
0.229166667	0.0	0.916666666667	1.0
0.233333333	0.0	0.933333333333	1.0
0.2375	0.0	0.95	1.0
0.241666667	0.0	0.966666666667	1.0
0.245833333	0.0	0.983333333333	1.0
0.25	0.0	1.0	1.0
0.254166667	0.0	1.0	0.983333333333
0.258333333	0.0	1.0	0.966666666667
0.2625	0.0	1.0	0.95
0.266666667	0.0	1.0	0.933333333333
0.270833333	0.0	1.0	0.916666666667
0.275	0.0	1.0	0.9
0.279166667	0.0	1.0	0.883333333333
0.283333333	0.0	1.0	0.866666666667
0.2875	0.0	1.0	0.85
0.291666667	0.0	1.0	0.833333333333
0.295833333	0.0	1.0	0.816666666667
0.3	0.0	1.0	0.8
0.304166667	0.0	1.0	0.783333333333
0.308333333	0.0	1.0	0.766666666667
0.3125	0.0	1.0	0.75
0.316666667	0.0	1.0	0.733333333333
0.320833333	0.0	1.0	0.716666666667
0.325	0.0	1.0	0.7
0.329166667	0.0	1.0	0.683333333333
0.333333333	0.0	1.0	0.666666666667
0.3375	0.0	1.0	0.65
0.341666667	0.0	1.0	0.633333333333
0.345833333	0.0	1.0	0.616666666667
0.35	0.0	1.0	0.6
0.354166667	0.0	1.0	0.583333333333
0.358333333	0.0	1.0	0.566666666667
0.3625	0.0	1.0	0.55
0.366666667	0.0	1.0	0.533333333333
0.370833333	0.0	1.0	0.516666666667
0.375	0.0	1.0	0.5
0.379166667	0.0	1.0	0.483333333333
0.383333333	0.0	1.0	0.466666666667
0.3875	0.0	1.0	0.45
0.391666667	0.0	1.0	0.433333333333
0.395833333	0.0	1.0	0.416666666667
0.4	0.0	1.0	0.4
0.404166667	0.0	1.0	0.383333333333
0.408333333	0.0	1.0	0.366666666667
0.4125	0.0	1.0	0.35
0.416666667	0.0	1.0	0.333333333333
0.420833333	0.0	1.0	0.316666666667
0.425	0.0	1.0	0.3
0.429166667	0.0	1.0	0.283333333333
0.433333333	0.0	1.0	0.266666666667
0.4375	0.0	1.0	0.25
