V	R	G	B
0.000000	0.0	0.0	0.0
0.025641	0.1	0.0	0.0
0.051282	0.236	0.0016	0.0194
0.076923	0.4	0.0016	0.2
0.102564	0.6121	0.0031	0.4
0.128205	0.75	0.05	0.6
0.153846	0.9	0.15	0.8
0.179487	1.0	0.27	1.0
0.205128	0.8	0.2	0.883
0.230769	0.55	0.17	0.766
0.256410	0.35	0.12	0.649
0.282051	0.2	0.08	0.532
0.307692	0.0	0.0	0.3
0.333333	0.05	0.2	0.532
0.358974	0.1	0.3	0.649
0.384615	0.15	0.45	0.766
0.410256	0.2	0.7	0.883
0.435897	0.25	1.0	1.0
0.461538	0.1	0.86	0.4323
0.487179	0.0	0.72	0.3
0.512820	0.0	0.615	0.2
0.538461	0.0	0.51	0.1
0.564102	0.0	0.384	0.0
0.589743	0.2	0.566	0.0
0.615384	0.4	0.713	0.0
0.641025	0.6	0.825	0.0
0.666666	0.8	0.93	0.05
0.692307	1.0	1.0	0.1
0.717948	0.925	0.85	0.0
0.743589	0.85	0.6	0.0
0.769230	0.76	0.4	0.0
0.794871	0.625	0.2	0.0
0.820512	0.4	0.05	0.1
0.846153	0.5125	0.2	0.25
0.871794	0.625	0.35	0.38
0.897435	0.7375	0.5	0.55
0.923076	0.85	0.65	0.7
0.948717	0.925	0.8	0.8
0.974358	1.0	0.9	0.9
0.999999	1.0	1.0	1.0
